STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,ADJUSTMENT,Adjustment,DECIMALS,Decimals,BASE_PER,Base period
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,USA,United States,Q,Quarterly,HPI_RPI,Price to rent ratio,IX,Index,1979-Q3,,108.113767838026,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,USA,United States,Q,Quarterly,HPI_RPI,Price to rent ratio,IX,Index,1979-Q4,,105.505634095742,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,USA,United States,Q,Quarterly,HPI_RPI,Price to rent ratio,IX,Index,1971-Q1,,93.9360442739209,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,USA,United States,Q,Quarterly,HPI_RPI,Price to rent ratio,IX,Index,1971-Q2,,96.5151062115847,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,USA,United States,Q,Quarterly,HPI_RPI,Price to rent ratio,IX,Index,1971-Q3,,96.2258835325301,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,USA,United States,Q,Quarterly,HPI_RPI,Price to rent ratio,IX,Index,1983-Q2,,90.8558318769749,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,USA,United States,Q,Quarterly,HPI_RPI,Price to rent ratio,IX,Index,1983-Q3,,90.7684663739607,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,USA,United States,Q,Quarterly,HPI_RPI,Price to rent ratio,IX,Index,1983-Q4,,90.3256888651443,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,USA,United States,Q,Quarterly,HPI_RPI,Price to rent ratio,IX,Index,1984-Q1,,90.3774397401697,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,USA,United States,Q,Quarterly,HPI_RPI,Price to rent ratio,IX,Index,1984-Q2,,90.5714372771826,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,USA,United States,Q,Quarterly,HPI_RPI,Price to rent ratio,IX,Index,1984-Q3,,90.3606318010031,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,USA,United States,Q,Quarterly,HPI_RPI,Price to rent ratio,IX,Index,1984-Q4,,90.4833499726094,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,USA,United States,Q,Quarterly,HPI_RPI,Price to rent ratio,IX,Index,1985-Q1,,90.3831406732786,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,USA,United States,Q,Quarterly,HPI_RPI,Price to rent ratio,IX,Index,1985-Q2,,90.4107099578003,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,USA,United States,Q,Quarterly,HPI_RPI,Price to rent ratio,IX,Index,1985-Q3,,90.7952557787984,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,USA,United States,Q,Quarterly,HPI_RPI,Price to rent ratio,IX,Index,1985-Q4,,91.0282373398365,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,USA,United States,Q,Quarterly,HPI_RPI,Price to rent ratio,IX,Index,1986-Q1,,91.3869846806499,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,USA,United States,Q,Quarterly,HPI_RPI,Price to rent ratio,IX,Index,1986-Q2,,91.9793160716204,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,USA,United States,Q,Quarterly,HPI_RPI,Price to rent ratio,IX,Index,1986-Q3,,92.9009727031922,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,USA,United States,Q,Quarterly,HPI_RPI,Price to rent ratio,IX,Index,1986-Q4,,93.8347089226005,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,USA,United States,Q,Quarterly,HPI_RPI,Price to rent ratio,IX,Index,1987-Q1,,94.6248442583251,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,USA,United States,Q,Quarterly,HPI_RPI,Price to rent ratio,IX,Index,1987-Q2,,95.2417996826599,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,USA,United States,Q,Quarterly,HPI_RPI,Price to rent ratio,IX,Index,1987-Q3,,95.7475790507647,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,USA,United States,Q,Quarterly,HPI_RPI,Price to rent ratio,IX,Index,1987-Q4,,95.6511149456413,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
